Speaker,Model,Error Type,TP,FP,FN,precision,recall,f1
SA001_grandfather,tiny,Substitution Errors,11,35,1,0.24,0.92,0.38
SA001_grandfather,tiny,Deletion Errors,2,44,2,0.04,0.50,0.08
SA001_grandfather,tiny,Insertion Errors,2,44,4,0.04,0.33,0.08
SA001_grandfather,tiny,Repetition Errors,0,46,1,0.00,0.00,0.00
SA001_grandfather,tiny,Prosodic Errors,5,42,3,0.11,0.63,0.18
SA001_grandfather,base,Substitution Errors,12,22,1,0.35,0.92,0.51
SA001_grandfather,base,Deletion Errors,3,31,2,0.09,0.60,0.15
SA001_grandfather,base,Insertion Errors,1,33,5,0.03,0.17,0.05
SA001_grandfather,base,Repetition Errors,1,33,0,0.03,1.00,0.06
SA001_grandfather,base,Prosodic Errors,4,30,3,0.12,0.57,0.20
SA001_grandfather,small,Substitution Errors,9,12,2,0.43,0.82,0.56
SA001_grandfather,small,Deletion Errors,3,18,1,0.14,0.75,0.24
SA001_grandfather,small,Insertion Errors,0,21,6,0.00,0.00,0.00
SA001_grandfather,small,Repetition Errors,0,21,1,0.00,0.00,0.00
SA001_grandfather,small,Prosodic Errors,1,20,6,0.05,0.14,0.07
SA001_grandfather,medium,Substitution Errors,8,8,3,0.50,0.73,0.59
SA001_grandfather,medium,Deletion Errors,2,14,2,0.13,0.50,0.20
SA001_grandfather,medium,Insertion Errors,0,16,6,0.00,0.00,0.00
SA001_grandfather,medium,Repetition Errors,0,16,1,0.00,0.00,0.00
SA001_grandfather,medium,Prosodic Errors,3,14,4,0.18,0.43,0.25
SA001_grandfather,large,Substitution Errors,6,12,4,0.33,0.60,0.43
SA001_grandfather,large,Deletion Errors,1,17,3,0.06,0.25,0.09
SA001_grandfather,large,Insertion Errors,1,17,5,0.06,0.17,0.08
SA001_grandfather,large,Repetition Errors,0,18,1,0.00,0.00,0.00
SA001_grandfather,large,Prosodic Errors,0,18,7,0.00,0.00,0.00
SA001_grandfather,turbo,Substitution Errors,7,13,4,0.35,0.64,0.45
SA001_grandfather,turbo,Deletion Errors,3,17,1,0.15,0.75,0.25
SA001_grandfather,turbo,Insertion Errors,0,20,6,0.00,0.00,0.00
SA001_grandfather,turbo,Repetition Errors,0,20,1,0.00,0.00,0.00
SA001_grandfather,turbo,Prosodic Errors,1,19,6,0.05,0.14,0.07
SA001_rainbow,tiny,Substitution Errors,1,30,1,0.03,0.50,0.06
SA001_rainbow,tiny,Deletion Errors,2,29,0,0.06,1.00,0.12
SA001_rainbow,tiny,Insertion Errors,6,25,2,0.19,0.75,0.31
SA001_rainbow,tiny,Repetition Errors,0,31,1,0.00,0.00,0.00
SA001_rainbow,tiny,Prosodic Errors,1,30,0,0.03,1.00,0.06
SA001_rainbow,base,Substitution Errors,2,17,0,0.11,1.00,0.19
SA001_rainbow,base,Deletion Errors,1,18,0,0.05,1.00,0.10
SA001_rainbow,base,Insertion Errors,2,17,5,0.11,0.29,0.15
SA001_rainbow,base,Repetition Errors,0,19,1,0.00,0.00,0.00
SA001_rainbow,base,Prosodic Errors,0,19,1,0.00,0.00,0.00
SA001_rainbow,small,Substitution Errors,1,15,1,0.06,0.50,0.11
SA001_rainbow,small,Deletion Errors,1,15,0,0.06,1.00,0.12
SA001_rainbow,small,Insertion Errors,3,13,4,0.19,0.43,0.26
SA001_rainbow,small,Repetition Errors,1,15,0,0.06,1.00,0.12
SA001_rainbow,small,Prosodic Errors,0,16,1,0.00,0.00,0.00
SA001_rainbow,medium,Substitution Errors,1,13,1,0.07,0.50,0.13
SA001_rainbow,medium,Deletion Errors,1,13,0,0.07,1.00,0.13
SA001_rainbow,medium,Insertion Errors,4,10,4,0.29,0.50,0.36
SA001_rainbow,medium,Repetition Errors,0,14,1,0.00,0.00,0.00
SA001_rainbow,medium,Prosodic Errors,0,14,1,0.00,0.00,0.00
SA001_rainbow,large,Substitution Errors,1,11,1,0.08,0.50,0.14
SA001_rainbow,large,Deletion Errors,1,11,0,0.08,1.00,0.15
SA001_rainbow,large,Insertion Errors,6,6,4,0.50,0.60,0.55
SA001_rainbow,large,Repetition Errors,1,11,0,0.08,1.00,0.15
SA001_rainbow,large,Prosodic Errors,0,12,1,0.00,0.00,0.00
SA001_rainbow,turbo,Substitution Errors,1,12,1,0.08,0.50,0.13
SA001_rainbow,turbo,Deletion Errors,1,12,0,0.08,1.00,0.14
SA001_rainbow,turbo,Insertion Errors,4,9,4,0.31,0.50,0.38
SA001_rainbow,turbo,Repetition Errors,0,13,1,0.00,0.00,0.00
SA001_rainbow,turbo,Prosodic Errors,0,13,1,0.00,0.00,0.00
SA002_grandfather,tiny,Substitution Errors,16,28,1,0.36,0.94,0.52
SA002_grandfather,tiny,Deletion Errors,7,36,4,0.16,0.64,0.26
SA002_grandfather,tiny,Insertion Errors,3,40,5,0.07,0.38,0.12
SA002_grandfather,tiny,Repetition Errors,2,41,2,0.05,0.50,0.09
SA002_grandfather,tiny,Prosodic Errors,2,41,2,0.05,0.50,0.09
SA002_grandfather,base,Substitution Errors,12,27,0,0.31,1.00,0.47
SA002_grandfather,base,Deletion Errors,8,30,2,0.21,0.80,0.33
SA002_grandfather,base,Insertion Errors,2,36,6,0.05,0.25,0.09
SA002_grandfather,base,Repetition Errors,2,36,2,0.05,0.50,0.10
SA002_grandfather,base,Prosodic Errors,4,34,1,0.11,0.80,0.19
SA002_grandfather,small,Substitution Errors,11,14,2,0.44,0.85,0.58
SA002_grandfather,small,Deletion Errors,3,22,7,0.12,0.30,0.17
SA002_grandfather,small,Insertion Errors,2,23,6,0.08,0.25,0.12
SA002_grandfather,small,Repetition Errors,0,25,3,0.00,0.00,0.00
SA002_grandfather,small,Prosodic Errors,2,23,2,0.08,0.50,0.14
SA002_grandfather,medium,Substitution Errors,12,15,2,0.44,0.86,0.59
SA002_grandfather,medium,Deletion Errors,5,21,5,0.19,0.50,0.28
SA002_grandfather,medium,Insertion Errors,2,24,5,0.08,0.29,0.12
SA002_grandfather,medium,Repetition Errors,1,25,2,0.04,0.33,0.07
SA002_grandfather,medium,Prosodic Errors,2,24,2,0.08,0.50,0.13
SA002_grandfather,large,Substitution Errors,10,17,3,0.37,0.77,0.50
SA002_grandfather,large,Deletion Errors,7,20,3,0.26,0.70,0.38
SA002_grandfather,large,Insertion Errors,3,24,5,0.11,0.38,0.17
SA002_grandfather,large,Repetition Errors,1,26,2,0.04,0.33,0.07
SA002_grandfather,large,Prosodic Errors,4,23,1,0.15,0.80,0.25
SA002_grandfather,turbo,Substitution Errors,11,95,1,0.10,0.92,0.19
SA002_grandfather,turbo,Deletion Errors,5,100,5,0.05,0.50,0.09
SA002_grandfather,turbo,Insertion Errors,2,103,6,0.02,0.25,0.04
SA002_grandfather,turbo,Repetition Errors,2,103,2,0.02,0.50,0.04
SA002_grandfather,turbo,Prosodic Errors,2,103,2,0.02,0.50,0.04
SA002_rainbow,tiny,Substitution Errors,7,37,1,0.16,0.88,0.27
SA002_rainbow,tiny,Deletion Errors,7,37,0,0.16,1.00,0.27
SA002_rainbow,tiny,Insertion Errors,4,40,0,0.09,1.00,0.17
SA002_rainbow,tiny,Repetition Errors,0,44,0,0.00,0.00,0.00
SA002_rainbow,tiny,Prosodic Errors,1,43,0,0.02,1.00,0.04
SA002_rainbow,base,Substitution Errors,6,21,2,0.22,0.75,0.34
SA002_rainbow,base,Deletion Errors,5,22,1,0.19,0.83,0.30
SA002_rainbow,base,Insertion Errors,5,22,0,0.19,1.00,0.31
SA002_rainbow,base,Repetition Errors,0,27,0,0.00,0.00,0.00
SA002_rainbow,base,Prosodic Errors,0,27,1,0.00,0.00,0.00
SA002_rainbow,small,Substitution Errors,5,14,3,0.26,0.63,0.37
SA002_rainbow,small,Deletion Errors,4,15,2,0.21,0.67,0.32
SA002_rainbow,small,Insertion Errors,4,15,0,0.21,1.00,0.35
SA002_rainbow,small,Repetition Errors,0,19,0,0.00,0.00,0.00
SA002_rainbow,small,Prosodic Errors,0,19,1,0.00,0.00,0.00
SA002_rainbow,medium,Substitution Errors,4,9,2,0.31,0.67,0.42
SA002_rainbow,medium,Deletion Errors,0,13,5,0.00,0.00,0.00
SA002_rainbow,medium,Insertion Errors,5,8,0,0.38,1.00,0.56
SA002_rainbow,medium,Repetition Errors,0,13,0,0.00,0.00,0.00
SA002_rainbow,medium,Prosodic Errors,1,12,0,0.08,1.00,0.14
SA002_rainbow,large,Substitution Errors,4,5,3,0.44,0.57,0.50
SA002_rainbow,large,Deletion Errors,1,8,4,0.11,0.20,0.14
SA002_rainbow,large,Insertion Errors,3,6,1,0.33,0.75,0.46
SA002_rainbow,large,Repetition Errors,0,9,0,0.00,0.00,0.00
SA002_rainbow,large,Prosodic Errors,1,8,0,0.11,1.00,0.20
SA002_rainbow,turbo,Substitution Errors,5,11,2,0.31,0.71,0.43
SA002_rainbow,turbo,Deletion Errors,5,11,1,0.31,0.83,0.45
SA002_rainbow,turbo,Insertion Errors,4,12,0,0.25,1.00,0.40
SA002_rainbow,turbo,Repetition Errors,0,16,0,0.00,0.00,0.00
SA002_rainbow,turbo,Prosodic Errors,1,15,0,0.06,1.00,0.12
SA003_grandfather,tiny,Substitution Errors,1,20,1,0.05,0.50,0.09
SA003_grandfather,tiny,Deletion Errors,0,21,0,0.00,0.00,0.00
SA003_grandfather,tiny,Insertion Errors,1,20,0,0.05,1.00,0.09
SA003_grandfather,tiny,Repetition Errors,0,21,0,0.00,0.00,0.00
SA003_grandfather,tiny,Prosodic Errors,0,21,1,0.00,0.00,0.00
SA003_grandfather,base,Substitution Errors,1,12,1,0.08,0.50,0.13
SA003_grandfather,base,Deletion Errors,0,13,0,0.00,0.00,0.00
SA003_grandfather,base,Insertion Errors,1,12,0,0.08,1.00,0.14
SA003_grandfather,base,Repetition Errors,0,13,0,0.00,0.00,0.00
SA003_grandfather,base,Prosodic Errors,0,13,1,0.00,0.00,0.00
SA003_grandfather,small,Substitution Errors,1,3,1,0.25,0.50,0.33
SA003_grandfather,small,Deletion Errors,0,4,0,0.00,0.00,0.00
SA003_grandfather,small,Insertion Errors,0,4,1,0.00,0.00,0.00
SA003_grandfather,small,Repetition Errors,0,4,0,0.00,0.00,0.00
SA003_grandfather,small,Prosodic Errors,0,4,1,0.00,0.00,0.00
SA003_grandfather,medium,Substitution Errors,1,3,1,0.25,0.50,0.33
SA003_grandfather,medium,Deletion Errors,0,4,0,0.00,0.00,0.00
SA003_grandfather,medium,Insertion Errors,0,4,1,0.00,0.00,0.00
SA003_grandfather,medium,Repetition Errors,0,4,0,0.00,0.00,0.00
SA003_grandfather,medium,Prosodic Errors,0,4,1,0.00,0.00,0.00
SA003_grandfather,large,Substitution Errors,2,10,1,0.17,0.67,0.27
SA003_grandfather,large,Deletion Errors,0,12,0,0.00,0.00,0.00
SA003_grandfather,large,Insertion Errors,0,12,1,0.00,0.00,0.00
SA003_grandfather,large,Repetition Errors,0,12,0,0.00,0.00,0.00
SA003_grandfather,large,Prosodic Errors,0,12,1,0.00,0.00,0.00
SA003_grandfather,turbo,Substitution Errors,1,3,1,0.25,0.50,0.33
SA003_grandfather,turbo,Deletion Errors,0,4,0,0.00,0.00,0.00
SA003_grandfather,turbo,Insertion Errors,0,4,1,0.00,0.00,0.00
SA003_grandfather,turbo,Repetition Errors,0,4,0,0.00,0.00,0.00
SA003_grandfather,turbo,Prosodic Errors,0,4,1,0.00,0.00,0.00
SA003_rainbow,tiny,Substitution Errors,0,10,0,0.00,0.00,0.00
SA003_rainbow,tiny,Deletion Errors,1,9,0,0.10,1.00,0.18
SA003_rainbow,tiny,Insertion Errors,1,9,0,0.10,1.00,0.18
SA003_rainbow,tiny,Repetition Errors,0,10,0,0.00,0.00,0.00
SA003_rainbow,tiny,Prosodic Errors,0,10,0,0.00,0.00,0.00
SA003_rainbow,base,Substitution Errors,0,6,0,0.00,0.00,0.00
SA003_rainbow,base,Deletion Errors,1,5,0,0.17,1.00,0.29
SA003_rainbow,base,Insertion Errors,1,5,0,0.17,1.00,0.29
SA003_rainbow,base,Repetition Errors,0,6,0,0.00,0.00,0.00
SA003_rainbow,base,Prosodic Errors,0,6,0,0.00,0.00,0.00
SA003_rainbow,small,Substitution Errors,0,17,0,0.00,0.00,0.00
SA003_rainbow,small,Deletion Errors,1,16,0,0.06,1.00,0.11
SA003_rainbow,small,Insertion Errors,1,16,0,0.06,1.00,0.11
SA003_rainbow,small,Repetition Errors,0,17,0,0.00,0.00,0.00
SA003_rainbow,small,Prosodic Errors,0,17,0,0.00,0.00,0.00
SA003_rainbow,medium,Substitution Errors,0,2,0,0.00,0.00,0.00
SA003_rainbow,medium,Deletion Errors,1,1,0,0.50,1.00,0.67
SA003_rainbow,medium,Insertion Errors,0,2,1,0.00,0.00,0.00
SA003_rainbow,medium,Repetition Errors,0,2,0,0.00,0.00,0.00
SA003_rainbow,medium,Prosodic Errors,0,2,0,0.00,0.00,0.00
SA003_rainbow,large,Substitution Errors,0,4,0,0.00,0.00,0.00
SA003_rainbow,large,Deletion Errors,1,3,0,0.25,1.00,0.40
SA003_rainbow,large,Insertion Errors,1,3,0,0.25,1.00,0.40
SA003_rainbow,large,Repetition Errors,0,4,0,0.00,0.00,0.00
SA003_rainbow,large,Prosodic Errors,0,4,0,0.00,0.00,0.00
SA003_rainbow,turbo,Substitution Errors,0,5,0,0.00,0.00,0.00
SA003_rainbow,turbo,Deletion Errors,1,4,0,0.20,1.00,0.33
SA003_rainbow,turbo,Insertion Errors,1,4,0,0.20,1.00,0.33
SA003_rainbow,turbo,Repetition Errors,0,5,0,0.00,0.00,0.00
SA003_rainbow,turbo,Prosodic Errors,0,5,0,0.00,0.00,0.00
SA004_grandfather,tiny,Substitution Errors,9,60,6,0.13,0.60,0.21
SA004_grandfather,tiny,Deletion Errors,9,60,6,0.13,0.60,0.21
SA004_grandfather,tiny,Insertion Errors,15,55,4,0.21,0.79,0.34
SA004_grandfather,tiny,Repetition Errors,3,66,1,0.04,0.75,0.08
SA004_grandfather,tiny,Prosodic Errors,2,67,2,0.03,0.50,0.05
SA004_grandfather,base,Substitution Errors,12,44,3,0.21,0.80,0.34
SA004_grandfather,base,Deletion Errors,12,45,2,0.21,0.86,0.34
SA004_grandfather,base,Insertion Errors,11,47,4,0.19,0.73,0.30
SA004_grandfather,base,Repetition Errors,0,56,2,0.00,0.00,0.00
SA004_grandfather,base,Prosodic Errors,1,55,3,0.02,0.25,0.03
SA004_grandfather,small,Substitution Errors,11,36,4,0.23,0.73,0.35
SA004_grandfather,small,Deletion Errors,10,38,5,0.21,0.67,0.32
SA004_grandfather,small,Insertion Errors,10,39,5,0.20,0.67,0.31
SA004_grandfather,small,Repetition Errors,0,47,2,0.00,0.00,0.00
SA004_grandfather,small,Prosodic Errors,1,46,3,0.02,0.25,0.04
SA004_grandfather,medium,Substitution Errors,10,22,4,0.31,0.71,0.43
SA004_grandfather,medium,Deletion Errors,4,28,8,0.13,0.33,0.18
SA004_grandfather,medium,Insertion Errors,11,22,4,0.33,0.73,0.46
SA004_grandfather,medium,Repetition Errors,1,31,1,0.03,0.50,0.06
SA004_grandfather,medium,Prosodic Errors,2,30,2,0.06,0.50,0.11
SA004_grandfather,large,Substitution Errors,12,22,5,0.35,0.71,0.47
SA004_grandfather,large,Deletion Errors,5,30,8,0.14,0.38,0.21
SA004_grandfather,large,Insertion Errors,10,25,4,0.29,0.71,0.41
SA004_grandfather,large,Repetition Errors,0,34,2,0.00,0.00,0.00
SA004_grandfather,large,Prosodic Errors,0,34,4,0.00,0.00,0.00
SA004_grandfather,turbo,Substitution Errors,12,246,3,0.05,0.80,0.09
SA004_grandfather,turbo,Deletion Errors,7,252,6,0.03,0.54,0.05
SA004_grandfather,turbo,Insertion Errors,10,249,5,0.04,0.67,0.07
SA004_grandfather,turbo,Repetition Errors,0,258,2,0.00,0.00,0.00
SA004_grandfather,turbo,Prosodic Errors,1,257,3,0.00,0.25,0.01
SA004_rainbow,tiny,Substitution Errors,4,28,3,0.13,0.57,0.21
SA004_rainbow,tiny,Deletion Errors,2,30,0,0.06,1.00,0.12
SA004_rainbow,tiny,Insertion Errors,1,31,1,0.03,0.50,0.06
SA004_rainbow,tiny,Repetition Errors,2,30,0,0.06,1.00,0.12
SA004_rainbow,tiny,Prosodic Errors,0,32,0,0.00,0.00,0.00
SA004_rainbow,base,Substitution Errors,5,27,2,0.16,0.71,0.26
SA004_rainbow,base,Deletion Errors,2,30,0,0.06,1.00,0.12
SA004_rainbow,base,Insertion Errors,2,30,0,0.06,1.00,0.12
SA004_rainbow,base,Repetition Errors,2,30,0,0.06,1.00,0.12
SA004_rainbow,base,Prosodic Errors,0,32,0,0.00,0.00,0.00
SA004_rainbow,small,Substitution Errors,3,21,3,0.13,0.50,0.20
SA004_rainbow,small,Deletion Errors,1,23,1,0.04,0.50,0.08
SA004_rainbow,small,Insertion Errors,3,21,0,0.13,1.00,0.22
SA004_rainbow,small,Repetition Errors,0,24,1,0.00,0.00,0.00
SA004_rainbow,small,Prosodic Errors,0,24,0,0.00,0.00,0.00
SA004_rainbow,medium,Substitution Errors,4,11,3,0.27,0.57,0.36
SA004_rainbow,medium,Deletion Errors,1,14,1,0.07,0.50,0.12
SA004_rainbow,medium,Insertion Errors,2,13,0,0.13,1.00,0.24
SA004_rainbow,medium,Repetition Errors,0,15,1,0.00,0.00,0.00
SA004_rainbow,medium,Prosodic Errors,0,15,0,0.00,0.00,0.00
SA004_rainbow,large,Substitution Errors,4,15,2,0.21,0.67,0.32
SA004_rainbow,large,Deletion Errors,1,18,1,0.05,0.50,0.10
SA004_rainbow,large,Insertion Errors,2,17,0,0.11,1.00,0.19
SA004_rainbow,large,Repetition Errors,0,19,1,0.00,0.00,0.00
SA004_rainbow,large,Prosodic Errors,0,19,0,0.00,0.00,0.00
SA004_rainbow,turbo,Substitution Errors,3,14,3,0.18,0.50,0.26
SA004_rainbow,turbo,Deletion Errors,2,15,0,0.12,1.00,0.21
SA004_rainbow,turbo,Insertion Errors,1,16,1,0.06,0.50,0.11
SA004_rainbow,turbo,Repetition Errors,0,17,1,0.00,0.00,0.00
SA004_rainbow,turbo,Prosodic Errors,0,17,0,0.00,0.00,0.00
SA005_grandfather,tiny,Substitution Errors,4,23,2,0.15,0.67,0.24
SA005_grandfather,tiny,Deletion Errors,1,26,1,0.04,0.50,0.07
SA005_grandfather,tiny,Insertion Errors,2,25,0,0.07,1.00,0.14
SA005_grandfather,tiny,Repetition Errors,0,27,0,0.00,0.00,0.00
SA005_grandfather,tiny,Prosodic Errors,0,27,0,0.00,0.00,0.00
SA005_grandfather,base,Substitution Errors,4,14,2,0.22,0.67,0.33
SA005_grandfather,base,Deletion Errors,1,17,1,0.06,0.50,0.10
SA005_grandfather,base,Insertion Errors,1,17,1,0.06,0.50,0.10
SA005_grandfather,base,Repetition Errors,0,18,0,0.00,0.00,0.00
SA005_grandfather,base,Prosodic Errors,0,18,0,0.00,0.00,0.00
SA005_grandfather,small,Substitution Errors,4,11,2,0.27,0.67,0.38
SA005_grandfather,small,Deletion Errors,2,13,0,0.13,1.00,0.24
SA005_grandfather,small,Insertion Errors,2,13,0,0.13,1.00,0.24
SA005_grandfather,small,Repetition Errors,0,15,0,0.00,0.00,0.00
SA005_grandfather,small,Prosodic Errors,0,15,0,0.00,0.00,0.00
SA005_grandfather,medium,Substitution Errors,4,11,1,0.27,0.80,0.40
SA005_grandfather,medium,Deletion Errors,2,13,0,0.13,1.00,0.24
SA005_grandfather,medium,Insertion Errors,2,13,0,0.13,1.00,0.24
SA005_grandfather,medium,Repetition Errors,0,15,0,0.00,0.00,0.00
SA005_grandfather,medium,Prosodic Errors,0,15,0,0.00,0.00,0.00
SA005_grandfather,large,Substitution Errors,4,4,2,0.50,0.67,0.57
SA005_grandfather,large,Deletion Errors,0,8,2,0.00,0.00,0.00
SA005_grandfather,large,Insertion Errors,1,7,1,0.13,0.50,0.20
SA005_grandfather,large,Repetition Errors,0,8,0,0.00,0.00,0.00
SA005_grandfather,large,Prosodic Errors,0,8,0,0.00,0.00,0.00
SA005_grandfather,turbo,Substitution Errors,5,91,1,0.05,0.83,0.10
SA005_grandfather,turbo,Deletion Errors,1,95,1,0.01,0.50,0.02
SA005_grandfather,turbo,Insertion Errors,1,95,1,0.01,0.50,0.02
SA005_grandfather,turbo,Repetition Errors,0,96,0,0.00,0.00,0.00
SA005_grandfather,turbo,Prosodic Errors,0,96,0,0.00,0.00,0.00
SA005_rainbow,tiny,Substitution Errors,4,27,0,0.13,1.00,0.23
SA005_rainbow,tiny,Deletion Errors,1,30,0,0.03,1.00,0.06
SA005_rainbow,tiny,Insertion Errors,1,30,0,0.03,1.00,0.06
SA005_rainbow,tiny,Repetition Errors,0,31,0,0.00,0.00,0.00
SA005_rainbow,tiny,Prosodic Errors,0,31,0,0.00,0.00,0.00
SA005_rainbow,base,Substitution Errors,3,17,0,0.15,1.00,0.26
SA005_rainbow,base,Deletion Errors,1,19,0,0.05,1.00,0.10
SA005_rainbow,base,Insertion Errors,0,20,1,0.00,0.00,0.00
SA005_rainbow,base,Repetition Errors,0,20,0,0.00,0.00,0.00
SA005_rainbow,base,Prosodic Errors,0,20,0,0.00,0.00,0.00
SA005_rainbow,small,Substitution Errors,2,5,0,0.29,1.00,0.44
SA005_rainbow,small,Deletion Errors,1,6,0,0.14,1.00,0.25
SA005_rainbow,small,Insertion Errors,0,7,1,0.00,0.00,0.00
SA005_rainbow,small,Repetition Errors,0,7,0,0.00,0.00,0.00
SA005_rainbow,small,Prosodic Errors,0,7,0,0.00,0.00,0.00
SA005_rainbow,medium,Substitution Errors,3,1,0,0.75,1.00,0.86
SA005_rainbow,medium,Deletion Errors,1,3,0,0.25,1.00,0.40
SA005_rainbow,medium,Insertion Errors,1,3,0,0.25,1.00,0.40
SA005_rainbow,medium,Repetition Errors,0,4,0,0.00,0.00,0.00
SA005_rainbow,medium,Prosodic Errors,0,4,0,0.00,0.00,0.00
SA005_rainbow,large,Substitution Errors,2,2,0,0.50,1.00,0.67
SA005_rainbow,large,Deletion Errors,1,3,0,0.25,1.00,0.40
SA005_rainbow,large,Insertion Errors,0,4,1,0.00,0.00,0.00
SA005_rainbow,large,Repetition Errors,0,4,0,0.00,0.00,0.00
SA005_rainbow,large,Prosodic Errors,0,4,0,0.00,0.00,0.00
SA005_rainbow,turbo,Substitution Errors,3,3,0,0.50,1.00,0.67
SA005_rainbow,turbo,Deletion Errors,1,5,0,0.17,1.00,0.29
SA005_rainbow,turbo,Insertion Errors,1,5,0,0.17,1.00,0.29
SA005_rainbow,turbo,Repetition Errors,0,6,0,0.00,0.00,0.00
SA005_rainbow,turbo,Prosodic Errors,0,6,0,0.00,0.00,0.00
SA006_grandfather,tiny,Substitution Errors,9,52,0,0.15,1.00,0.26
SA006_grandfather,tiny,Deletion Errors,0,61,0,0.00,0.00,0.00
SA006_grandfather,tiny,Insertion Errors,8,53,3,0.13,0.73,0.22
SA006_grandfather,tiny,Repetition Errors,1,60,1,0.02,0.50,0.03
SA006_grandfather,tiny,Prosodic Errors,2,59,0,0.03,1.00,0.06
SA006_grandfather,base,Substitution Errors,12,44,0,0.21,1.00,0.35
SA006_grandfather,base,Deletion Errors,0,55,0,0.00,0.00,0.00
SA006_grandfather,base,Insertion Errors,9,46,2,0.16,0.82,0.27
SA006_grandfather,base,Repetition Errors,4,51,1,0.07,0.80,0.13
SA006_grandfather,base,Prosodic Errors,1,54,1,0.02,0.50,0.04
SA006_grandfather,small,Substitution Errors,6,15,2,0.29,0.75,0.41
SA006_grandfather,small,Deletion Errors,0,21,0,0.00,0.00,0.00
SA006_grandfather,small,Insertion Errors,6,16,4,0.27,0.60,0.38
SA006_grandfather,small,Repetition Errors,0,21,2,0.00,0.00,0.00
SA006_grandfather,small,Prosodic Errors,0,21,2,0.00,0.00,0.00
SA006_grandfather,medium,Substitution Errors,9,21,1,0.30,0.90,0.45
SA006_grandfather,medium,Deletion Errors,0,30,0,0.00,0.00,0.00
SA006_grandfather,medium,Insertion Errors,9,22,3,0.29,0.75,0.42
SA006_grandfather,medium,Repetition Errors,1,29,1,0.03,0.50,0.06
SA006_grandfather,medium,Prosodic Errors,1,29,1,0.03,0.50,0.06
SA006_grandfather,large,Substitution Errors,11,13,0,0.46,1.00,0.63
SA006_grandfather,large,Deletion Errors,0,22,0,0.00,0.00,0.00
SA006_grandfather,large,Insertion Errors,5,17,4,0.23,0.56,0.32
SA006_grandfather,large,Repetition Errors,1,21,1,0.05,0.50,0.08
SA006_grandfather,large,Prosodic Errors,1,21,1,0.05,0.50,0.08
SA006_grandfather,turbo,Substitution Errors,9,135,0,0.06,1.00,0.12
SA006_grandfather,turbo,Deletion Errors,0,143,0,0.00,0.00,0.00
SA006_grandfather,turbo,Insertion Errors,8,136,3,0.06,0.73,0.10
SA006_grandfather,turbo,Repetition Errors,0,143,2,0.00,0.00,0.00
SA006_grandfather,turbo,Prosodic Errors,0,143,2,0.00,0.00,0.00
SA006_rainbow,tiny,Substitution Errors,3,28,2,0.10,0.60,0.17
SA006_rainbow,tiny,Deletion Errors,2,29,0,0.06,1.00,0.12
SA006_rainbow,tiny,Insertion Errors,4,27,2,0.13,0.67,0.22
SA006_rainbow,tiny,Repetition Errors,2,29,2,0.06,0.50,0.11
SA006_rainbow,tiny,Prosodic Errors,0,31,0,0.00,0.00,0.00
SA006_rainbow,base,Substitution Errors,4,18,1,0.18,0.80,0.30
SA006_rainbow,base,Deletion Errors,1,21,0,0.05,1.00,0.09
SA006_rainbow,base,Insertion Errors,5,17,2,0.23,0.71,0.34
SA006_rainbow,base,Repetition Errors,0,22,3,0.00,0.00,0.00
SA006_rainbow,base,Prosodic Errors,0,22,0,0.00,0.00,0.00
SA006_rainbow,small,Substitution Errors,2,21,2,0.09,0.50,0.15
SA006_rainbow,small,Deletion Errors,1,22,0,0.04,1.00,0.08
SA006_rainbow,small,Insertion Errors,2,21,2,0.09,0.50,0.15
SA006_rainbow,small,Repetition Errors,1,22,2,0.04,0.33,0.08
SA006_rainbow,small,Prosodic Errors,0,23,0,0.00,0.00,0.00
SA006_rainbow,medium,Substitution Errors,3,7,1,0.30,0.75,0.43
SA006_rainbow,medium,Deletion Errors,1,9,0,0.10,1.00,0.18
SA006_rainbow,medium,Insertion Errors,1,9,3,0.10,0.25,0.14
SA006_rainbow,medium,Repetition Errors,1,9,2,0.10,0.33,0.15
SA006_rainbow,medium,Prosodic Errors,0,10,0,0.00,0.00,0.00
SA006_rainbow,large,Substitution Errors,3,10,1,0.23,0.75,0.35
SA006_rainbow,large,Deletion Errors,1,12,0,0.08,1.00,0.14
SA006_rainbow,large,Insertion Errors,4,9,2,0.31,0.67,0.42
SA006_rainbow,large,Repetition Errors,2,11,1,0.15,0.67,0.25
SA006_rainbow,large,Prosodic Errors,0,13,0,0.00,0.00,0.00
SA006_rainbow,turbo,Substitution Errors,5,8,0,0.38,1.00,0.56
SA006_rainbow,turbo,Deletion Errors,1,12,0,0.08,1.00,0.14
SA006_rainbow,turbo,Insertion Errors,2,11,2,0.15,0.50,0.24
SA006_rainbow,turbo,Repetition Errors,2,11,1,0.15,0.67,0.25
SA006_rainbow,turbo,Prosodic Errors,0,13,0,0.00,0.00,0.00